ID,SMILES,Tg,Melting,decomposition T,density (g/cc),cohesive energy density (Cal/cc),FFV,Tensile,Young,P_N2 (barrer),P_O2 (barrer),alpha_O/N
60,[*]C1=CC(C2=NC3=CC(C4=CC=C5N=C([*])[NH]C5=C4)=CC=C3[NH]2)=CC=C1,468,540,731,1.2,172,0.26,76.1,4812.64,0.004,0.015,3.75
61,[*]C=CCC[*],198,354,707,0.9,68.6,0.2,42.2,392.85,18.7,23.3,1.245989305
62,[*]CC(C)CC(C)CCCC(C)CC(C)CC(C)CC(C)CCCC(C)CC[*],247,411,724,0.9,68.8,0.32,26.2,2301.54,0.31,1.4,4.516129032
63,[*]CC(O)CC(O)CC(O)CCCC(O)CCCC(O)CC(O)CCCC(O)[*],306,485,568,1.2,189.4,0.14,29,2853.13,0.000009,0.000035,3.888888889
64,[*]CC([*])(C)C(=O)OC[Si](C)(C)C,348,491,317,1,88.1,0.16,64.3,2043.55,3.2,13.2,4.125
65,[*]CC([*])C1=CC=CC=C1,389,510,651,1,79.2,0.22,64.6,1721.47,0.59,2.7,4.576271186
66,[*]CC([*])C1=CC=CC=N1,372,471,626,1.1,86.5,0.25,74.5,2650.08,0.18,1.1,6.111111111
67,[*]CCCC(C)[*],211,381,661,0.9,67,0.31,26.5,1641.89,0.22,0.98,4.454545455
68,[*]CCCCCC(C)CCCC([*])C,205,362,660,0.9,67.6,0.31,26.2,1553.97,0.24,1,4.166666667
69,[*]CCCCCCCC(C)CCCCCC(C)CCCC(C)CC[*],202,346,658,0.9,67.8,0.31,25.7,1450.43,0.27,1.1,4.074074074
70,[*]CCCCCCCCCC([*])C,202,335,654,0.9,67.7,0.31,24.8,1330.68,0.3,1.2,4
71,[*]CCO[*],210,253,618,1.2,65.2,0.23,29.1,2711.37,0.23,0.63,2.739130435
72,[*]CC[*],218,331,642,0.9,65.8,0.3,50.8,1044.04,0.42,1.5,3.571428571
73,[*]N=P([*])(OC1=CC=CC=C1)OC1=CC=CC=C1,268,644,661,1.3,84.5,0.22,93.7,3599.43,1,2.5,2.5
74,[*]OCC([*])CCl,259,401,626,1.4,46.4,0.28,58.8,1444.55,0.23,0.97,4.217391304
75,[*]Oc%15ccc(Oc%14ccc(C(=O)c%13ccc(Oc%12ccc(Oc%11ccc(C(=O)c%10ccc(Oc9ccc(Oc8ccc(C(=O)c7ccc(Oc6ccc(Oc5ccc(C(=O)c4ccc(Oc3ccc(Oc2ccc(C(=O)c1ccc([*])cc1)cc2)cc3)cc4)cc5)cc6S(=O)(=O)O)cc7)cc8)cc9S(=O)(=O)O)cc%10)cc%11)cc%12S(=O)(=O)O)cc%13)cc%14)cc%15S(=O)(=O)O,461,563,564,1.4,132,0.12,70.4,1874.51,0.0026,0.026,10
76,[*]c%15ccc(Oc%14ccc(NC(=O)c%13ccc%12c(=O)n(c%11ccc(Oc%10ccc(NC(=O)c9ccc8c(=O)n(c7cccc(NC(=O)c6ccc5c(=O)n(c4ccc(Oc3ccc(NC(=O)c2ccc1c(=O)n([*])c(=O)c1c2)cc3)cc4)c(=O)c5c6)c7)c(=O)c8c9)cc%10)cc%11)c(=O)c%12c%13)cc%14)cc%15,461,563,564,1.4,132,0.12,70.4,1874.51,0.0026,0.026,10
77,[*]c5c(C)c(C)c(n4c(=O)c3ccc(C(c2ccc1c(=O)n([*])c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c(C)c5C,631,612,692,1.3,159.8,0.16,90.6,2409.56,30.5,114.6,3.757377049
78,[*]c5c(C)cc(C)c(n4c(=O)c3ccc(C(c2ccc1c(=O)n([*])c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)c5C,633,608,705,1.4,168.6,0.16,95.9,2154.34,23.2,93.9,4.047413793
